item_id,order_id,product_id,quantity,line_total
11,1,110,4,99929.68
12,1,108,1,11356.7
13,1,33,3,7364.7
14,1,34,1,2974.54
15,1,14,1,22358.4
21,2,84,4,54851.0
22,2,100,4,43510.72
23,2,98,4,81134.72
24,2,60,2,48582.84
31,3,34,3,8923.62
32,3,23,2,47903.44
33,3,50,4,27958.24
41,4,74,4,3908.72
42,4,22,2,17672.28
43,4,34,2,5949.08
44,4,44,3,18335.04
51,5,92,1,6109.07
52,5,21,5,101212.85
53,5,54,3,74819.01
54,5,68,1,22859.38
55,5,107,5,33101.3
61,6,82,1,6993.89
71,7,23,1,23951.72
72,7,32,5,30417.55
81,8,52,4,59289.44
91,9,83,5,54334.4
101,10,19,2,11801.6
111,11,90,4,24551.24
121,12,38,3,49130.61
131,13,98,2,40567.36
141,14,84,4,54851.0
142,14,33,2,4909.8
151,15,67,5,63821.8
152,15,14,1,22358.4
161,16,26,3,60823.92
162,16,50,2,13979.12
163,16,48,5,82791.25
164,16,24,5,13861.35
171,17,23,4,95806.88
181,18,30,5,108059.1
191,19,69,4,31247.6
192,19,95,1,5748.8
193,19,81,5,60722.1
194,19,60,1,24291.42
201,20,57,2,39811.88
211,21,73,2,1028.02
221,22,16,4,23426.52
222,22,56,5,15932.0
223,22,18,1,16422.17
231,23,22,3,26508.42
232,23,95,5,28744.0
233,23,94,5,31655.55
241,24,79,4,8782.84
242,24,77,5,110056.2
251,25,47,2,43942.02
252,25,52,4,59289.44
261,26,48,4,66233.0
262,26,91,4,8957.32
263,26,65,4,46464.92
271,27,14,4,89433.6
281,28,82,4,27975.56
291,29,50,3,20968.68
292,29,74,1,977.18
301,30,16,1,5856.63
302,30,35,3,48222.81
311,31,106,3,32508.3
312,31,84,1,13712.75
313,31,80,5,96314.7
314,31,33,1,2454.9
321,32,49,4,91625.68
331,33,79,1,2195.71
341,34,98,5,101418.4
342,34,66,5,109792.0
343,34,105,2,10320.24
351,35,98,1,20283.68
352,35,100,2,21755.36
361,36,34,2,5949.08
371,37,20,4,81324.2
372,37,102,2,49224.1
373,37,37,5,35204.8
381,38,12,4,28952.88
382,38,16,2,11713.26
391,39,25,3,63790.83
392,39,48,2,33116.5
393,39,11,4,64663.84
394,39,41,2,49486.64
401,40,62,1,17201.9
411,41,87,2,22466.9
421,42,44,5,30558.4
422,42,65,3,34848.69
431,43,94,3,18993.33
441,44,12,4,28952.88
442,44,64,4,12932.12
451,45,35,4,64297.08
461,46,12,4,28952.88
471,47,109,4,55931.88
481,48,99,2,5749.6
491,49,25,1,21263.61
501,50,73,1,514.01
511,51,52,2,29644.72
521,52,43,4,84599.48
522,52,98,3,60851.04
523,52,102,5,123060.25
524,52,99,3,8624.4
531,53,83,3,32600.64
541,54,26,4,81098.56
551,55,36,4,38277.72
552,55,22,2,17672.28
553,55,82,2,13987.78
561,56,15,4,43348.32
562,56,71,1,19181.51
571,57,15,4,43348.32
581,58,108,1,11356.7
591,59,89,3,26349.3
601,60,29,5,104102.05
602,60,67,1,12764.36
611,61,75,2,44057.38
612,61,109,2,27965.94
621,62,16,2,11713.26
622,62,83,3,32600.64
623,62,12,3,21714.66
631,63,55,1,2727.28
632,63,70,4,61679.08
633,63,36,4,38277.72
634,63,93,2,43122.14
641,64,75,2,44057.38
642,64,19,3,17702.4
643,64,39,4,18771.6
644,64,34,1,2974.54
651,65,19,3,17702.4
652,65,42,5,70726.35
653,65,88,2,6929.2
654,65,78,2,5197.02
661,66,51,1,14253.52
662,66,18,1,16422.17
671,67,79,5,10978.55
672,67,13,2,37087.08
681,68,52,2,29644.72
682,68,58,1,2056.43
683,68,15,2,21674.16
691,69,11,5,80829.8
701,70,60,5,121457.1
711,71,39,1,4692.9
721,72,20,4,81324.2
722,72,13,5,92717.7
731,73,47,5,109855.05
732,73,98,4,81134.72
741,74,106,4,43344.4
742,74,41,5,123716.6
751,75,92,4,24436.28
761,76,30,5,108059.1
762,76,69,3,23435.7
771,77,47,2,43942.02
781,78,60,1,24291.42
782,78,43,4,84599.48
783,78,31,3,53286.03
784,78,58,2,4112.86
785,78,105,1,5160.12
791,79,101,2,36724.72
792,79,80,4,77051.76
801,80,91,3,6717.99
811,81,62,4,68807.6
821,82,69,4,31247.6
822,82,104,4,86443.92
823,82,68,3,68578.14
824,82,67,3,38293.08
831,83,62,2,34403.8
841,84,37,2,14081.92
842,84,42,5,70726.35
843,84,38,2,32753.74
851,85,104,4,86443.92
852,85,95,5,28744.0
853,85,90,4,24551.24
854,85,57,3,59717.82
861,86,38,2,32753.74
862,86,61,4,3125.16
871,87,94,4,25324.44
881,88,110,5,124912.1
891,89,36,3,28708.29
892,89,38,5,81884.35
901,90,95,2,11497.6
902,90,60,4,97165.68
903,90,77,1,22011.24
904,90,66,2,43916.8
911,91,96,2,46840.2
921,92,106,5,54180.5
931,93,93,2,43122.14
932,93,62,2,34403.8
933,93,84,4,54851.0
941,94,42,2,28290.54
951,95,73,5,2570.05
952,95,51,5,71267.6
953,95,89,1,8783.1
961,96,19,1,5900.8
962,96,21,1,20242.57
971,97,17,3,3450.39
972,97,53,2,20570.62
973,97,22,2,17672.28
974,97,51,2,28507.04
981,98,19,3,17702.4
991,99,51,4,57014.08
992,99,85,4,21712.8
1001,100,33,3,7364.7
1011,101,82,2,13987.78
1021,102,30,5,108059.1
1022,102,31,5,88810.05
1023,102,64,4,12932.12
1024,102,26,2,40549.28
1031,103,91,3,6717.99
1032,103,71,2,38363.02
1041,104,95,1,5748.8
1042,104,29,2,41640.82
1043,104,67,4,51057.44
1044,104,23,4,95806.88
1045,104,107,4,26481.04
1051,105,109,5,69914.85
1052,105,13,3,55630.62
1061,106,85,1,5428.2
1062,106,84,4,54851.0
1063,106,34,5,14872.7
1064,106,68,3,68578.14
1071,107,21,2,40485.14
1072,107,58,5,10282.15
1073,107,19,3,17702.4
1074,107,33,4,9819.6
1081,108,25,3,63790.83
1082,108,96,3,70260.3
1083,108,36,1,9569.43
1084,108,92,3,18327.21
1091,109,74,5,4885.9
1092,109,13,5,92717.7
1101,110,32,3,18250.53
1102,110,57,2,39811.88
1111,111,77,4,88044.96
1112,111,14,3,67075.2
1121,112,17,3,3450.39
1122,112,94,3,18993.33
1123,112,41,4,98973.28
1124,112,100,4,43510.72
1131,113,45,4,32914.4
1141,114,53,1,10285.31
1142,114,81,2,24288.84
1151,115,90,1,6137.81
1152,115,12,3,21714.66
1153,115,105,4,20640.48
1154,115,84,2,27425.5
1161,116,59,3,74714.91
1162,116,60,4,97165.68
1163,116,15,3,32511.24
1164,116,99,3,8624.4
1171,117,65,3,34848.69
1172,117,63,2,14074.44
1173,117,101,3,55087.08
1181,118,81,3,36433.26
1182,118,35,3,48222.81
1183,118,73,1,514.01
1191,119,96,1,23420.1
1192,119,21,1,20242.57
1193,119,51,2,28507.04
1194,119,76,1,8034.1
1201,120,33,3,7364.7
1211,121,84,2,27425.5
1221,122,20,1,20331.05
1222,122,12,3,21714.66
1223,122,103,5,51821.1
1231,123,85,4,21712.8
1241,124,53,1,10285.31
1242,124,96,5,117100.5
1251,125,101,2,36724.72
1261,126,106,1,10836.1
1271,127,102,1,24612.05
1281,128,98,2,40567.36
1291,129,102,1,24612.05
1301,130,91,5,11196.65
1311,131,36,4,38277.72
1321,132,34,3,8923.62
1322,132,71,5,95907.55
1331,133,18,1,16422.17
1332,133,67,1,12764.36
1333,133,34,2,5949.08
1334,133,75,2,44057.38
1341,134,80,5,96314.7
1351,135,100,2,21755.36
1352,135,26,3,60823.92
1353,135,108,2,22713.4
1354,135,20,2,40662.1
1355,135,35,4,64297.08
1361,136,86,5,124405.8
1362,136,48,4,66233.0
1371,137,47,4,87884.04
1372,137,38,3,49130.61
1381,138,105,1,5160.12
1382,138,41,3,74229.96
1383,138,78,3,7795.53
1391,139,19,3,17702.4
1392,139,18,1,16422.17
1393,139,74,5,4885.9
1401,140,66,4,87833.6
1402,140,21,1,20242.57
1403,140,97,1,12080.44
1411,141,109,3,41948.91
1421,142,88,1,3464.6
1422,142,97,5,60402.2
1431,143,51,4,57014.08
1441,144,72,3,58729.05
1451,145,108,3,34070.1
1452,145,73,5,2570.05
1461,146,35,3,48222.81
1462,146,40,4,18013.44
1463,146,86,4,99524.64
1464,146,32,4,24334.04
1465,146,16,3,17569.89
1471,147,62,2,34403.8
1472,147,70,4,61679.08
1473,147,68,4,91437.52
1474,147,30,1,21611.82
1481,148,51,4,57014.08
1482,148,59,3,74714.91
1483,148,91,1,2239.33
1484,148,30,4,86447.28
1491,149,95,5,28744.0
1492,149,33,2,4909.8
1493,149,30,2,43223.64
1501,150,61,4,3125.16
1511,151,54,2,49879.34
1521,152,61,2,1562.58
1531,153,81,3,36433.26
1541,154,73,5,2570.05
1551,155,66,1,21958.4
1552,155,31,3,53286.03
1553,155,73,1,514.01
1561,156,52,4,59289.44
1571,157,29,5,104102.05
1572,157,41,4,98973.28
1581,158,64,3,9699.09
1582,158,73,2,1028.02
1583,158,12,3,21714.66
1591,159,98,4,81134.72
1592,159,90,5,30689.05
1601,160,27,5,68187.95
1611,161,103,3,31092.66
1621,162,27,4,54550.36
1622,162,58,1,2056.43
1623,162,83,1,10866.88
1631,163,64,2,6466.06
1632,163,42,3,42435.81
1641,164,51,4,57014.08
1642,164,92,3,18327.21
1651,165,84,2,27425.5
1652,165,53,2,20570.62
1661,166,91,5,11196.65
1662,166,84,2,27425.5
1663,166,40,2,9006.72
1664,166,101,4,73449.44
1665,166,86,5,124405.8
1671,167,13,5,92717.7
1672,167,51,1,14253.52
1681,168,29,5,104102.05
1691,169,78,4,10394.04
1701,170,104,1,21610.98
1702,170,45,4,32914.4
1711,171,35,3,48222.81
1721,172,57,4,79623.76
1722,172,110,2,49964.84
1723,172,18,2,32844.34
1731,173,52,5,74111.8
1732,173,56,4,12745.6
1741,174,45,4,32914.4
1742,174,51,3,42760.56
1751,175,79,2,4391.42
1752,175,36,5,47847.15
1761,176,48,1,16558.25
1762,176,104,2,43221.96
1771,177,75,2,44057.38
1772,177,47,4,87884.04
1781,178,12,3,21714.66
1782,178,49,2,45812.84
