order_id,customer_id,seller_id,order_date,ship_date,delivery_date,status
1,253,4,2023-04-10,2023-04-19,,delivered
2,344,18,2024-03-05,2024-03-17,2024-03-24,delivered
3,427,16,2024-09-22,2024-09-27,,delivered
4,228,15,2025-08-31,2025-09-06,,delivered
5,279,12,2023-03-04,2023-03-08,2023-03-16,paid
6,109,20,2025-09-21,,,delivered
7,125,5,2025-03-16,2025-03-18,2025-03-27,shipped
8,111,8,2023-12-03,2023-12-16,2023-12-17,shipped
9,75,5,2024-07-07,2024-07-10,,cancelled
10,68,1,2024-01-02,2024-01-06,2024-01-07,paid
11,27,5,2025-01-29,2025-01-31,2025-02-08,delivered
12,186,17,2024-08-30,,,delivered
13,485,20,2023-02-14,2023-02-28,2023-03-05,delivered
14,494,1,2023-03-04,2023-03-18,2023-03-20,delivered
15,466,15,2023-03-17,2023-03-23,2023-03-25,paid
16,320,19,2024-07-15,2024-07-22,2024-07-31,shipped
17,259,20,2024-03-16,,,delivered
18,437,18,2025-01-08,2025-01-15,2025-01-19,delivered
19,424,15,2024-02-13,2024-02-15,2024-02-21,delivered
20,192,5,2024-12-04,2024-12-06,,paid
21,222,4,2025-02-01,2025-02-14,,paid
22,490,18,2024-07-29,2024-07-31,2024-08-07,cancelled
23,370,2,2025-09-18,2025-09-23,2025-10-03,delivered
24,80,16,2023-08-18,2023-08-24,2023-08-30,paid
25,143,19,2023-08-20,2023-09-03,2023-09-13,delivered
26,330,18,2023-01-27,2023-02-07,2023-02-12,created
27,140,10,2025-08-01,2025-08-02,2025-08-05,delivered
28,206,3,2023-05-26,2023-05-27,,delivered
29,193,14,2024-04-09,2024-04-15,2024-04-21,delivered
30,291,20,2023-03-28,2023-03-31,2023-04-10,created
31,42,9,2024-03-29,2024-04-06,2024-04-13,shipped
32,387,17,2023-04-27,2023-04-29,2023-05-09,delivered
33,342,10,2023-02-16,2023-02-26,,shipped
34,485,7,2025-02-24,,,shipped
35,168,4,2023-01-08,2023-01-15,2023-01-22,delivered
36,118,17,2024-07-26,2024-08-08,2024-08-15,cancelled
37,22,14,2023-01-20,2023-01-22,2023-02-01,delivered
38,208,14,2023-10-24,,,created
39,167,6,2025-03-31,2025-04-08,2025-04-14,paid
40,433,4,2023-09-07,2023-09-14,2023-09-21,cancelled
41,382,11,2023-08-15,2023-08-18,,delivered
42,272,17,2023-07-18,2023-07-24,2023-07-27,shipped
43,75,9,2023-07-22,,,paid
44,389,3,2023-07-01,2023-07-12,2023-07-22,delivered
45,230,19,2024-10-20,2024-10-30,2024-11-05,paid
46,35,16,2024-03-28,2024-04-10,2024-04-11,delivered
47,38,10,2024-04-17,2024-04-18,2024-04-23,paid
48,443,3,2024-09-21,2024-09-28,2024-10-07,returned
49,379,2,2024-04-05,2024-04-15,2024-04-21,delivered
50,257,5,2025-09-07,,,paid
51,461,11,2025-01-01,,,delivered
52,21,8,2024-12-25,2025-01-02,2025-01-12,paid
53,191,10,2024-02-01,2024-02-07,2024-02-08,delivered
54,332,11,2023-03-09,2023-03-18,2023-03-23,shipped
55,437,20,2025-06-13,,,paid
56,340,5,2025-07-27,2025-08-07,2025-08-14,paid
57,363,3,2023-11-14,2023-11-25,2023-11-28,delivered
58,425,17,2023-04-06,2023-04-13,2023-04-14,delivered
59,93,7,2023-12-16,2023-12-24,2023-12-27,paid
60,152,4,2024-06-03,2024-06-17,2024-06-26,created
61,173,20,2023-05-15,2023-05-18,2023-05-28,delivered
62,85,15,2023-02-14,2023-02-25,2023-03-05,delivered
63,386,15,2023-08-28,2023-09-02,2023-09-10,cancelled
64,100,12,2024-11-25,2024-12-03,2024-12-08,delivered
65,258,17,2024-03-04,2024-03-18,2024-03-28,paid
66,129,2,2024-10-18,2024-10-24,2024-10-26,delivered
67,265,4,2023-10-19,,,paid
68,231,17,2023-05-31,2023-06-02,2023-06-06,delivered
69,453,12,2025-08-10,,,paid
70,258,12,2023-08-30,2023-09-01,2023-09-02,delivered
71,51,11,2025-03-21,,,created
72,470,16,2024-12-13,2024-12-26,2025-01-03,delivered
73,464,3,2023-01-20,2023-02-03,,cancelled
74,312,17,2024-03-09,,,shipped
75,155,4,2023-02-18,2023-03-01,2023-03-09,paid
76,429,16,2024-09-03,2024-09-14,2024-09-18,delivered
77,150,14,2023-01-02,2023-01-06,2023-01-09,delivered
78,44,17,2025-09-25,2025-10-04,2025-10-13,delivered
79,200,16,2023-02-14,2023-02-20,2023-02-21,delivered
80,35,12,2023-09-04,2023-09-15,,delivered
81,388,11,2023-05-17,,,delivered
82,417,6,2025-04-30,2025-05-08,2025-05-16,delivered
83,416,5,2023-03-06,2023-03-14,,shipped
84,406,7,2025-06-26,,,cancelled
85,264,13,2025-04-14,2025-04-19,,delivered
86,147,12,2025-06-01,2025-06-15,2025-06-20,paid
87,189,14,2025-06-29,2025-07-07,2025-07-14,delivered
88,96,16,2024-12-09,2024-12-22,2024-12-24,delivered
89,41,14,2024-09-08,2024-09-11,2024-09-17,paid
90,168,10,2023-11-10,2023-11-22,2023-11-30,delivered
91,22,12,2024-09-21,2024-09-26,2024-09-27,paid
92,327,13,2024-01-08,2024-01-20,2024-01-21,paid
93,312,15,2023-02-05,,,shipped
94,331,12,2024-01-06,2024-01-16,,paid
95,231,12,2024-01-16,2024-01-18,2024-01-27,delivered
96,161,9,2023-09-13,2023-09-14,2023-09-22,delivered
97,468,18,2023-05-01,2023-05-06,2023-05-10,returned
98,147,16,2023-07-24,,,cancelled
99,232,6,2025-07-09,2025-07-11,2025-07-17,delivered
100,364,3,2024-07-17,2024-07-22,2024-07-25,delivered
101,261,8,2023-05-05,2023-05-18,,delivered
102,14,12,2024-07-21,2024-07-29,2024-08-07,paid
103,453,3,2023-03-09,2023-03-21,2023-03-30,delivered
