review_id,order_id,rating,comment,review_date
1,1,2,Отлично!,2023-04-17
2,2,2,Качество среднее,2024-03-28
3,3,3,Отлично!,2024-10-03
4,4,3,Нормально,2025-09-04
5,6,3,Отлично!,2025-10-08
6,11,4,Нормально,2025-02-10
7,13,2,Хорошо,2023-03-03
8,16,5,Качество среднее,2024-08-07
9,22,4,Ожидал большего,2024-07-31
10,26,3,Не понравилось,2023-02-21
11,27,4,Супер!,2025-08-15
12,28,4,Товар соответствует описанию,2023-05-28
13,29,4,Супер!,2024-05-01
14,30,4,Отлично!,2023-04-26
15,34,4,Не понравилось,2025-03-23
16,36,5,Рекомендую,2024-08-18
17,38,5,Отлично!,2023-11-17
18,40,2,Товар соответствует описанию,2023-10-02
19,41,3,Не понравилось,2023-09-12
20,45,4,Нормально,2024-11-07
21,46,3,Качество среднее,2024-03-29
22,49,5,Рекомендую,2024-04-11
23,54,5,Нормально,2023-03-30
24,55,5,Нормально,2025-07-09
25,56,5,Хорошо,2025-08-06
26,58,1,Отлично!,2023-04-26
27,61,5,Отлично!,2023-05-20
28,63,5,Качество среднее,2023-09-24
29,66,3,Хорошо,2024-11-03
30,69,3,Хорошо,2025-08-12
31,71,3,Качество среднее,2025-04-15
32,72,4,Нормально,2024-12-19
33,73,4,Хорошо,2023-02-08
34,74,5,Отлично!,2024-03-23
35,77,4,Отлично!,2023-01-13
36,78,4,Рекомендую,2025-10-22
37,82,3,Супер!,2025-05-23
38,84,4,Не понравилось,2025-07-11
39,85,3,Хорошо,2025-04-29
40,90,5,Не понравилось,2023-12-06
41,92,5,Товар соответствует описанию,2024-01-17
42,93,2,Рекомендую,2023-02-15
43,94,3,Хорошо,2024-01-19
44,95,5,Быстро доставили,2024-01-20
45,97,3,Ожидал большего,2023-05-23
46,103,5,Не понравилось,2023-04-04
47,104,3,Товар соответствует описанию,2023-03-19
48,110,4,Отлично!,2024-06-01
49,114,3,Нормально,2024-10-21
50,116,3,Быстро доставили,2025-01-30
51,118,4,Не понравилось,2023-03-02
52,119,5,Не понравилось,2025-04-30
53,124,4,Быстро доставили,2023-11-17
54,127,5,Рекомендую,2024-06-23
55,129,4,Не понравилось,2023-07-03
56,132,1,Отлично!,2024-09-03
57,133,4,Качество среднее,2025-03-25
58,137,4,Быстро доставили,2024-06-30
59,138,4,Отлично!,2024-10-13
60,141,4,Быстро доставили,2025-07-28
61,143,5,Рекомендую,2023-10-29
62,144,3,Супер!,2023-10-06
63,146,4,Рекомендую,2024-12-22
64,147,4,Ожидал большего,2024-05-30
65,151,4,Ожидал большего,2025-08-13
66,153,3,Супер!,2024-11-24
67,156,5,Хорошо,2023-01-24
68,157,4,Товар соответствует описанию,2025-01-29
69,158,2,Ожидал большего,2023-11-27
70,160,5,Отлично!,2024-10-16
71,162,5,Супер!,2025-06-26
72,163,5,Качество среднее,2023-03-19
73,166,1,Не понравилось,2024-08-15
74,167,4,Супер!,2025-01-18
75,168,4,Ожидал большего,2024-09-06
76,169,5,Ожидал большего,2024-07-31
77,173,5,Рекомендую,2023-05-25
78,177,2,Отлично!,2024-09-29
79,181,4,Качество среднее,2023-03-26
80,184,5,Товар соответствует описанию,2024-05-13
81,185,5,Нормально,2024-08-21
82,191,5,Качество среднее,2024-02-22
83,192,5,Быстро доставили,2024-05-11
84,193,5,Ожидал большего,2025-07-27
85,194,5,Рекомендую,2023-02-11
86,196,5,Ожидал большего,2023-09-22
87,198,5,Хорошо,2024-11-01
88,203,3,Товар соответствует описанию,2025-04-24
89,204,5,Товар соответствует описанию,2023-07-19
90,208,2,Нормально,2024-06-09
91,213,2,Отлично!,2025-05-22
92,217,4,Нормально,2023-08-23
93,218,5,Супер!,2023-11-21
94,220,5,Не понравилось,2024-01-15
95,221,5,Товар соответствует описанию,2024-08-14
96,222,3,Товар соответствует описанию,2024-09-24
97,227,3,Супер!,2025-09-13
98,228,4,Товар соответствует описанию,2023-06-06
99,229,5,Не понравилось,2025-10-06
100,232,5,Отлично!,2025-09-15
101,233,5,Хорошо,2024-12-05
102,235,4,Отлично!,2025-08-16
103,238,3,Хорошо,2023-04-30
104,244,5,Быстро доставили,2024-12-23
105,250,1,Ожидал большего,2024-07-19
106,251,4,Товар соответствует описанию,2024-01-01
107,253,4,Отлично!,2023-07-14
108,254,4,Отлично!,2024-03-26
109,263,5,Быстро доставили,2023-11-28
110,264,4,Отлично!,2025-06-27
111,271,4,Быстро доставили,2024-05-19
112,272,4,Рекомендую,2024-02-19
113,274,4,Рекомендую,2025-02-15
114,275,5,Рекомендую,2024-02-25
115,276,4,Супер!,2023-12-17
116,278,2,Отлично!,2023-05-29
117,280,5,Не понравилось,2023-04-17
118,282,3,Качество среднее,2024-09-25
119,285,3,Супер!,2024-11-09
120,288,3,Быстро доставили,2024-01-21
121,291,5,Качество среднее,2024-05-28
122,293,2,Нормально,2025-02-28
123,295,3,Быстро доставили,2024-06-21
124,299,4,Ожидал большего,2023-04-30
125,300,5,Не понравилось,2023-05-16
126,301,5,Быстро доставили,2024-05-25
127,302,3,Рекомендую,2025-01-29
128,304,4,Ожидал большего,2024-06-21
129,305,5,Отлично!,2024-11-29
130,308,5,Супер!,2023-09-05
131,309,4,Товар соответствует описанию,2024-02-01
132,311,4,Рекомендую,2025-03-17
133,312,3,Нормально,2023-11-03
134,314,5,Товар соответствует описанию,2023-02-19
135,317,2,Качество среднее,2024-03-17
136,318,5,Нормально,2024-10-19
137,321,4,Нормально,2023-04-28
138,324,4,Рекомендую,2025-04-29
139,329,3,Товар соответствует описанию,2023-02-11
140,333,5,Товар соответствует описанию,2023-10-05
141,336,5,Ожидал большего,2024-06-03
142,342,5,Отлично!,2024-08-10
143,343,3,Нормально,2024-07-11
144,346,4,Не понравилось,2023-03-06
145,347,4,Не понравилось,2025-03-28
146,349,2,Отлично!,2025-09-27
147,350,2,Быстро доставили,2024-10-28
148,354,5,Хорошо,2023-09-10
149,355,5,Не понравилось,2024-01-19
150,356,3,Товар соответствует описанию,2024-04-05
151,357,2,Не понравилось,2024-01-11
152,360,4,Супер!,2023-07-02
153,361,4,Супер!,2023-03-31
154,364,3,Нормально,2024-03-05
155,366,5,Нормально,2023-06-09
156,368,5,Отлично!,2023-04-13
157,373,5,Супер!,2023-12-02
158,375,5,Супер!,2023-07-27
159,381,1,Ожидал большего,2024-08-30
160,382,4,Отлично!,2023-02-24
161,387,4,Быстро доставили,2024-07-09
162,389,5,Быстро доставили,2024-04-28
163,390,5,Качество среднее,2024-01-21
164,396,2,Ожидал большего,2025-01-15
165,397,3,Ожидал большего,2023-08-24
166,398,4,Товар соответствует описанию,2024-07-02
167,401,3,Товар соответствует описанию,2025-08-03
168,404,3,Ожидал большего,2023-12-25
169,405,1,Быстро доставили,2024-06-27
170,406,3,Быстро доставили,2023-05-21
171,408,4,Быстро доставили,2024-03-22
172,413,3,Хорошо,2023-12-17
173,415,5,Рекомендую,2023-05-24
174,416,5,Хорошо,2023-03-06
175,418,5,Супер!,2023-09-17
176,420,4,Не понравилось,2024-05-03
177,421,4,Качество среднее,2025-07-15
178,422,4,Быстро доставили,2023-08-07
179,424,5,Супер!,2024-11-01
180,425,4,Хорошо,2023-10-10
181,427,5,Ожидал большего,2024-06-16
182,428,5,Рекомендую,2025-03-29
183,429,4,Хорошо,2023-03-12
184,430,4,Ожидал большего,2024-11-19
185,431,1,Не понравилось,2023-07-01
186,433,3,Быстро доставили,2025-05-26
187,437,5,Супер!,2023-05-01
188,438,5,Отлично!,2023-05-09
189,439,4,Нормально,2024-02-18
190,442,4,Супер!,2024-07-03
191,443,5,Отлично!,2024-01-12
192,446,3,Товар соответствует описанию,2024-11-12
193,447,5,Рекомендую,2023-04-11
194,450,3,Не понравилось,2025-04-27
195,452,2,Не понравилось,2024-08-03
196,454,5,Супер!,2025-09-09
197,456,5,Рекомендую,2024-11-21
198,457,5,Товар соответствует описанию,2024-08-07
199,461,5,Хорошо,2024-09-28
200,463,5,Быстро доставили,2025-01-25
201,464,2,Нормально,2024-08-24
202,465,2,Качество среднее,2023-11-07
203,466,3,Отлично!,2023-03-07
204,467,4,Нормально,2023-06-21
205,468,4,Рекомендую,2025-04-15
206,469,4,Нормально,2024-02-08
207,470,3,Ожидал большего,2024-02-23
208,471,4,Быстро доставили,2025-02-12
209,473,5,Отлично!,2023-08-08
210,479,5,Быстро доставили,2024-03-14
211,489,4,Не понравилось,2024-08-05
212,493,5,Нормально,2024-10-07
213,494,5,Быстро доставили,2024-02-10
214,495,4,Супер!,2025-04-25
215,497,4,Рекомендую,2024-09-04
216,498,5,Рекомендую,2023-08-13
217,499,4,Рекомендую,2025-05-31
218,500,1,Супер!,2024-05-16
219,507,3,Отлично!,2025-06-17
220,508,3,Не понравилось,2025-06-09
221,509,4,Отлично!,2025-08-06
222,510,3,Не понравилось,2024-05-23
223,515,5,Товар соответствует описанию,2024-07-05
224,518,4,Супер!,2024-06-27
225,519,5,Ожидал большего,2025-04-03
226,524,3,Товар соответствует описанию,2024-09-03
227,525,3,Супер!,2023-06-20
228,526,3,Качество среднее,2025-09-16
229,528,1,Супер!,2025-03-28
230,531,4,Не понравилось,2023-07-11
231,535,4,Нормально,2024-05-23
232,537,2,Товар соответствует описанию,2024-08-30
233,538,5,Рекомендую,2024-02-24
234,539,5,Хорошо,2024-04-04
235,541,4,Отлично!,2024-01-03
236,542,4,Нормально,2023-05-08
237,545,3,Хорошо,2023-02-20
238,547,4,Не понравилось,2023-11-11
239,548,4,Хорошо,2024-12-30
240,550,4,Качество среднее,2023-02-02
241,552,2,Быстро доставили,2024-04-20
242,553,3,Качество среднее,2024-08-05
243,555,5,Быстро доставили,2024-08-23
244,557,5,Качество среднее,2024-11-02
245,561,4,Товар соответствует описанию,2025-02-22
246,569,5,Товар соответствует описанию,2023-10-10
247,571,2,Не понравилось,2024-08-19
248,577,5,Качество среднее,2024-08-15
249,585,3,Отлично!,2023-05-04
250,588,4,Рекомендую,2023-05-31
251,589,3,Нормально,2025-06-26
252,592,5,Не понравилось,2023-10-13
253,595,3,Супер!,2023-09-24
254,596,3,Нормально,2023-10-10
255,597,5,Ожидал большего,2023-08-27
256,600,3,Ожидал большего,2024-10-24
257,601,5,Нормально,2025-09-27
258,605,3,Нормально,2023-10-01
259,607,5,Хорошо,2025-03-14
260,609,5,Супер!,2025-02-10
261,610,3,Быстро доставили,2024-01-21
262,615,5,Качество среднее,2025-04-17
263,616,2,Быстро доставили,2025-04-10
264,617,5,Отлично!,2024-02-01
265,619,4,Товар соответствует описанию,2023-10-29
266,620,4,Не понравилось,2024-04-09
267,621,5,Рекомендую,2024-02-19
268,622,3,Нормально,2025-01-14
269,630,5,Рекомендую,2025-02-19
270,633,4,Быстро доставили,2025-03-19
271,637,4,Не понравилось,2025-09-24
272,639,3,Товар соответствует описанию,2023-02-09
273,641,3,Отлично!,2023-10-20
274,645,4,Отлично!,2024-01-14
275,649,3,Ожидал большего,2025-02-23
276,650,4,Отлично!,2023-06-28
277,653,1,Рекомендую,2023-09-17
278,656,5,Рекомендую,2025-09-02
279,658,4,Хорошо,2023-01-25
280,660,4,Товар соответствует описанию,2024-10-06
